Username,Comment
@Illuminatiedsomta,❤
@ankitsharma7381,26th may 2024
@jaat_gaming_63,26th may 2024
@Tamraaz_Kilvis_007,❤❤❤❤
@RamjeePradhan-so4ne,Op❤❤❤
@Osbedits,Some special Line 02:44
@urvashichauhan113,"such a masterpiece 

😘😘😘😘😍😍
who is after watching kirti mehra video"
@techzkumar834,Legends here in 2024😊
@partapparjapti9124,😊
@narinaresh4707,Masterpiece
@saurabhchhonker6703,I am here  only  for Baljeet
@aajadwave942,"Who all are here in 2024 ❤❤ rais their hand 
Love this masterpiece"
@soumya8350,8 Wonder of world 💛
@atnitesh,Is gane me 10 sal phle jaisa hi nasha hai :) https://www.youtube.com/@minakshivocal
@kushbujagat8482,"Please ye song ke singer se  vinti hai ki  aise hi songs our banaye please , nice song"
@shani422-g2j,April 2024 ❤❤❤😊
@MdRehan-fp4gk,Dj tishksyi hdbgrkiat
@killerboy3792,🔥❤️. 2024
@AmanRajput-t9h,हरे कृष्ण हरे राम ❤❤❤
@ariyannath4535,2k24 🧡
@Amit-ka1,Love u bro ❤❤
@RitikYadav-ep4pz,Proud to be yadav💪💪
@rameshbishnoi6461,Feb 2024 🎉
@Ajaykaushik19479,❤
@dhirandverma6024,"❤😂😂🎉🎉,500,5000,5000🎉🎉🎉"
@crazyshado8041,Who is listening this masterpiece in 2024❤
@rdxgamingshort2308,2024 me kon sunn Raha he ya songg 😂
@Deepak-gm2wq,2k24 first attendance 🙋🏻‍♂️😂
@hbtuinsider2028,Even in 2024😂❤
@Dhiraj-nd9vy,2024
@brokensayari_video,Anyone in 2024 listening this master piece
@Tejpalsingh_1353,2:41 we are here
@BuzzFlix.5911,2024😂😂
@tradewithajay01,2024 9 जनवरी ❤ A❤D
@starprince6341,2:44
@DvshSinghBhuker,2024 🔥🔥🔥
@alonethanosyt,"It's 2024 🎉
2:45"
@SantoshSingh-vl8dp,Anyone listening this masterpiece 2024
@MannuBisht-pf2uy,2/1/2024  😍 time 12:40 pm
@AbdulKareem-ox4rb,Legend comes only for ohdi ankh vi kameena mera dil vi kameena 😅😅😅
@YASIN-ALI-NAWAZ-OFFICIAL,Still in new year 20204 favourite 😍 ❤
@suvronk5035,Anyone's 🎉❤2024
@bikiroy1557,Still alive song in 2024
@Avni-zc9dl,"After 10 years Still listening in 2024 ...🤌🏻

Shoutout to all Pooja ki chhoti bahen 😂"
@comediandevid6264,I love this song a lot ❤️❤️❤️. I listen  and dance on this music daily bcz I love Pooja first and second love to the beats ❤❤
@EditzForYou0,Happy new year 2024
@dhirandverma6024,"❤😂🎉500,500,20,20,5000🎉"
@AnjanaPatel-hj9gv,છોકરી લાગે છે સુંદર
@drarnabchatterjee4008,Adoption of an old tune. Nothing great.
@dhirandverma6024,"❤😂🎉100,100,❤🎉🎉1000,2000❤🎉🎉"
@dhirandverma6024,"❤😂🎉500,500,500,500,500,500,❤🎉🎉🎉"
@dhirandverma6024,"❤😂🎉500,500,❤🎉🎉"
@dhirandverma6024,"❤😂🎉1000,100,20,🎉🎉"
@dhirandverma6024,"500,3loge z+securety ,200$@🎉🎉"
@aakashsingh9191,Banger 🔥
@Indian_097,From Instagram 😅😂
@MrX-uy7gj,It's never gonna be old my childhood memories❤❤❤❤❤😢
@Shubhamateliya_3123,2024 ❤❤🎉🎉🎉
@trending_bulls,❤
@kisna8756,Kabhi kabhi Chhapri benefit bhi de jate h. Ye masterpiece dikha diya 😊
@dhirandverma6024,"❤❤😂😂🎉🎉500,500,🎉🎉🎉🎉🎉🎉"
@shurishukutumb0008,👌👌👌...
@dhirandverma6024,"❤🎉🎉20,20,20,20,20,20,🎉🎉🎉"
@dhirandverma6024,"❤😂🎉1000,1000,🎉🎉🎉"
@RajSinghal-vi4fr,Simple suit quiet lagti
@RajSinghal-vi4fr,Bhai sry dr raha hu ❤❤❤😊😊😅
@RajSinghal-vi4fr,Are dra rhe ho bhai ❤😅😂😂😂
@shivchauhan1665,2024 me kune Kune dhekhe ga vo like kare
@rogerpune,❤
@Storydon0143,Ab aise songs kyun nahi bante 😒
@devrajsankla5119,Legend still listening 2024❤
@podcastwithmohit95,Sirra song bai❤❤❤
@podcastwithmohit95,Who comes after youtube shorts??😊😊😊❤
@kumarrishu3217,This is a masterpiece
@AshutoshMandavra,Kon kon insta reels dekhkar aaya hai❤
@sureshparasariya-6915,Legend😎 enjoy song 🎶 in 2023 😂
@prakashkandpal6757,Old but Gold ❤❤❤
@JustttKani,0:40
@shakshimeena2977,Ye singer kisko pasand karte hai iss song me Pooja ya unki bahan ko 🤔
@Godl360-n4b,i love pooja 😝
@YogiRjUjjawal,0% nudity song ❤
@legendaan,"Very few songs are made like this, everything perfect 👌❤️"
@sukhpreetsingh5191,Sirra song
